#Sampled points
0 0 0
0.5 0.25 1
1 1 2
1.5 2.25 3
2 4 4
2.5 6.25 5
3 9 6
3.5 12.25 7
4 16 8
4.5 20.25 9
5 25 10
5.5 30.25 11
6 36 12
6.5 42.25 13
7 49 14
7.5 56.25 15
8 64 16
8.5 72.25 17
9 81 18
9.5 90.25 19
10 100 20
10.5 110.25 21
11 121 22
11.5 132.25 23
12 144 24
12.5 156.25 25
13 169 26
13.5 182.25 27
14 196 28
14.5 210.25 29


#Spline points
0 0
0.125 0.015625
0.25 0.0625
0.375 0.140625
0.5 0.25
0.625 0.390625
0.75 0.5625
0.875 0.765625
1 1
1.125 1.26562
1.25 1.5625
1.375 1.89062
1.5 2.25
1.625 2.64062
1.75 3.0625
1.875 3.51562
2 4
2.125 4.51562
2.25 5.0625
2.375 5.64062
2.5 6.25
2.625 6.89062
2.75 7.5625
2.875 8.26562
3 9
3.125 9.76562
3.25 10.5625
3.375 11.3906
3.5 12.25
3.625 13.1406
3.75 14.0625
3.875 15.0156
4 16
4.125 17.0156
4.25 18.0625
4.375 19.1406
4.5 20.25
4.625 21.3906
4.75 22.5625
4.875 23.7656
5 25
5.125 26.2656
5.25 27.5625
5.375 28.8906
5.5 30.25
5.625 31.6406
5.75 33.0625
5.875 34.5156
6 36
6.125 37.5156
6.25 39.0625
6.375 40.6406
6.5 42.25
6.625 43.8906
6.75 45.5625
6.875 47.2656
7 49
7.125 50.7656
7.25 52.5625
7.375 54.3906
7.5 56.25
7.625 58.1406
7.75 60.0625
7.875 62.0156
8 64
8.125 66.0156
8.25 68.0625
8.375 70.1406
8.5 72.25
8.625 74.3906
8.75 76.5625
8.875 78.7656
9 81
9.125 83.2656
9.25 85.5625
9.375 87.8906
9.5 90.25
9.625 92.6406
9.75 95.0625
9.875 97.5156
10 100
10.125 102.516
10.25 105.062
10.375 107.641
10.5 110.25
10.625 112.891
10.75 115.562
10.875 118.266
11 121
11.125 123.766
11.25 126.562
11.375 129.391
11.5 132.25
11.625 135.141
11.75 138.062
11.875 141.016
12 144
12.125 147.016
12.25 150.062
12.375 153.141
12.5 156.25
12.625 159.391
12.75 162.562
12.875 165.766
13 169
13.125 172.266
13.25 175.562
13.375 178.891
13.5 182.25
13.625 185.641
13.75 189.062
13.875 192.516
14 196
14.125 199.516
14.25 203.062
14.375 206.641
14.5 210.25


#Spline derivative points
0 0
0.125 0.25
0.25 0.5
0.375 0.75
0.5 1
0.625 1.25
0.75 1.5
0.875 1.75
1 2
1.125 2.25
1.25 2.5
1.375 2.75
1.5 3
1.625 3.25
1.75 3.5
1.875 3.75
2 4
2.125 4.25
2.25 4.5
2.375 4.75
2.5 5
2.625 5.25
2.75 5.5
2.875 5.75
3 6
3.125 6.25
3.25 6.5
3.375 6.75
3.5 7
3.625 7.25
3.75 7.5
3.875 7.75
4 8
4.125 8.25
4.25 8.5
4.375 8.75
4.5 9
4.625 9.25
4.75 9.5
4.875 9.75
5 10
5.125 10.25
5.25 10.5
5.375 10.75
5.5 11
5.625 11.25
5.75 11.5
5.875 11.75
6 12
6.125 12.25
6.25 12.5
6.375 12.75
6.5 13
6.625 13.25
6.75 13.5
6.875 13.75
7 14
7.125 14.25
7.25 14.5
7.375 14.75
7.5 15
7.625 15.25
7.75 15.5
7.875 15.75
8 16
8.125 16.25
8.25 16.5
8.375 16.75
8.5 17
8.625 17.25
8.75 17.5
8.875 17.75
9 18
9.125 18.25
9.25 18.5
9.375 18.75
9.5 19
9.625 19.25
9.75 19.5
9.875 19.75
10 20
10.125 20.25
10.25 20.5
10.375 20.75
10.5 21
10.625 21.25
10.75 21.5
10.875 21.75
11 22
11.125 22.25
11.25 22.5
11.375 22.75
11.5 23
11.625 23.25
11.75 23.5
11.875 23.75
12 24
12.125 24.25
12.25 24.5
12.375 24.75
12.5 25
12.625 25.25
12.75 25.5
12.875 25.75
13 26
13.125 26.25
13.25 26.5
13.375 26.75
13.5 27
13.625 27.25
13.75 27.5
13.875 27.75
14 28
14.125 28.25
14.25 28.5
14.375 28.75
14.5 29


#Spline derivative points
0 0
0.125 0
0.25 0
0.375 0
0.5 0
0.625 0.03125
0.75 0.0625
0.875 0.09375
1 0.125
1.125 0.25
1.25 0.375
1.375 0.5
1.5 0.625
1.625 0.90625
1.75 1.1875
1.875 1.46875
2 1.75
2.125 2.25
2.25 2.75
2.375 3.25
2.5 3.75
2.625 4.53125
2.75 5.3125
2.875 6.09375
3 6.875
3.125 8
3.25 9.125
3.375 10.25
3.5 11.375
3.625 12.9062
3.75 14.4375
3.875 15.9688
4 17.5
4.125 19.5
4.25 21.5
4.375 23.5
4.5 25.5
4.625 28.0312
4.75 30.5625
4.875 33.0938
5 35.625
5.125 38.75
5.25 41.875
5.375 45
5.5 48.125
5.625 51.9062
5.75 55.6875
5.875 59.4688
6 63.25
6.125 67.75
6.25 72.25
6.375 76.75
6.5 81.25
6.625 86.5312
6.75 91.8125
6.875 97.0938
7 102.375
7.125 108.5
7.25 114.625
7.375 120.75
7.5 126.875
7.625 133.906
7.75 140.938
7.875 147.969
8 155
8.125 163
8.25 171
8.375 179
8.5 187
8.625 196.031
8.75 205.062
8.875 214.094
9 223.125
9.125 233.25
9.25 243.375
9.375 253.5
9.5 263.625
9.625 274.906
9.75 286.188
9.875 297.469
10 308.75
10.125 321.25
10.25 333.75
10.375 346.25
10.5 358.75
10.625 372.531
10.75 386.312
10.875 400.094
11 413.875
11.125 429
11.25 444.125
11.375 459.25
11.5 474.375
11.625 490.906
11.75 507.438
11.875 523.969
12 540.5
12.125 558.5
12.25 576.5
12.375 594.5
12.5 612.5
12.625 632.031
12.75 651.562
12.875 671.094
13 690.625
13.125 711.75
13.25 732.875
13.375 754
13.5 775.125
13.625 797.906
13.75 820.688
13.875 843.469
14 866.25
14.125 890.75
14.25 915.25
14.375 939.75
14.5 964.25
