#Circular motion
0 1
0.125 1.00012
0.369947 1.00036
0.742924 1.00069
1.22797 1.00096
1.79925 1.00098
2.43096 1.0006
3.10141 0.999898
3.79382 0.999186
4.49592 0.998868
5.19918 0.999158
5.89803 0.999928
6.58906 1.00077
7.27036 1.00125
7.94103 1.00111
8.60078 1.00042
9.24974 0.999517
9.88826 0.998805
10.5169 0.998599
11.1362 0.998984
11.7468 0.999795
12.3495 1.00071
12.9448 1.00136
13.5331 1.00151
14.1148 1.00111
14.6904 1.00029
15.26 0.999364
15.824 0.998639
16.3827 0.998363
16.9362 0.998627
17.485 0.999341
18.0292 1.00028
18.5693 1.00114
19.1053 1.00166
19.6374 1.00168
20.1657 1.0012
20.6904 1.00036
21.2115 0.9994
21.7291 0.998605
22.2433 0.998195
22.7541 0.998285
23.2619 0.998848
23.7667 0.999731
24.2686 1.0007
24.7678 1.00149
25 1.00172


#Elliptical motion
0 1
0.0141793 0.99291
0.0276515 0.986176
0.0406903 0.97966
0.0534564 0.973284
0.0660463 0.967
0.0785186 0.96078
0.0909096 0.954607
0.103241 0.94847
0.115528 0.942363
0.127778 0.936283
0.139996 0.930228
0.152187 0.924198
0.164351 0.918192
0.176491 0.912209
0.188607 0.906252
0.200699 0.90032
0.212768 0.894414
0.224814 0.888535
0.236837 0.882683
0.248836 0.876859
0.260813 0.871064
0.272767 0.865298
0.284697 0.859563
0.296605 0.853859
0.308489 0.848187
0.32035 0.842547
0.332188 0.83694
0.344003 0.831367
0.355794 0.825828
0.367562 0.820325
0.379307 0.814857
0.391029 0.809426
0.402727 0.804031
0.414402 0.798674
0.426054 0.793355
0.437682 0.788075
0.449287 0.782833
0.460868 0.777632
0.472426 0.772471
0.483961 0.76735
0.495472 0.762271
0.50696 0.757234
0.518425 0.752238
0.529866 0.747285
0.541284 0.742376
0.552679 0.73751
0.56405 0.732687
0.575399 0.72791
0.586724 0.723176
0.598025 0.718488
0.609304 0.713846
0.62056 0.709249
0.631792 0.704698
0.643002 0.700194
0.654188 0.695736
0.665352 0.691326
0.676492 0.686963
0.68761 0.682648
0.698705 0.67838
0.709778 0.674161
0.720828 0.66999
0.731855 0.665868
0.74286 0.661795
0.753843 0.657771
0.764803 0.653796
0.775741 0.649871
0.786657 0.645995
0.797551 0.64217
0.808423 0.638394
0.819273 0.634669
0.830101 0.630994
0.840908 0.627369
0.851694 0.623795
0.862458 0.620272
0.873201 0.616799
0.883922 0.613378
0.894623 0.610007
0.905303 0.606687
0.915962 0.603419
0.926601 0.600202
0.937219 0.597036
0.947817 0.593922
0.958395 0.590859
0.968953 0.587847
0.979491 0.584887
0.990009 0.581978
1.00051 0.579121
1.01099 0.576315
1.02145 0.573561
1.03189 0.570858
1.04231 0.568207
1.05272 0.565608
1.06311 0.563059
1.07347 0.560562
1.08383 0.558117
1.09416 0.555723
1.10447 0.55338
1.11477 0.551089
1.12506 0.548849
1.13532 0.54666
1.14557 0.544522
1.1558 0.542436
1.16602 0.5404
1.17622 0.538415
1.18641 0.536482
1.19658 0.534599
1.20673 0.532767
1.21687 0.530985
1.227 0.529254
1.23711 0.527574
1.24721 0.525945
1.2573 0.524365
1.26737 0.522836
1.27743 0.521358
1.28748 0.519929
1.29752 0.518551
1.30754 0.517222
1.31755 0.515944
1.32756 0.514715
1.33755 0.513536
1.34753 0.512407
1.3575 0.511328
1.36746 0.510298
1.37741 0.509317
1.38736 0.508386
1.39729 0.507504
1.40722 0.506672
1.41714 0.505889
1.42705 0.505155
1.43696 0.50447
1.44685 0.503834
1.45675 0.503246
1.46663 0.502708
1.47651 0.502219
1.48639 0.501779
1.49626 0.501387
1.50613 0.501044
1.51599 0.50075
1.52586 0.500504
1.53571 0.500307
1.54557 0.500159
1.55542 0.500059
1.56527 0.500007
1.57512 0.500005
1.58497 0.50005
1.59482 0.500145
1.60467 0.500287
1.61453 0.500479
1.62438 0.500718
1.63423 0.501007
1.64408 0.501343
1.65394 0.501728
1.6638 0.502162
1.67366 0.502645
1.68353 0.503176
1.6934 0.503755
1.70327 0.504383
1.71315 0.50506
1.72304 0.505785
1.73293 0.50656
1.74282 0.507383
1.75272 0.508255
1.76263 0.509175
1.77255 0.510145
1.78247 0.511163
1.7924 0.512231
1.80234 0.513347
1.81229 0.514513
1.82225 0.515728
1.83221 0.516992
1.84219 0.518305
1.85217 0.519668
1.86217 0.52108
1.87218 0.522542
1.8822 0.524053
1.89223 0.525613
1.90227 0.527224
1.91232 0.528884
1.92239 0.530594
1.93247 0.532353
1.94256 0.534163
1.95267 0.536022
1.96278 0.537932
1.97292 0.539891
1.98307 0.541901
1.99323 0.54396
2.0034 0.54607
2.0136 0.54823
2.0238 0.550441
2.03403 0.552702
2.04426 0.555013
2.05452 0.557374
2.06479 0.559787
2.07508 0.562249
2.08538 0.564762
2.09571 0.567325
2.10605 0.569939
2.1164 0.572604
2.12678 0.575319
2.13717 0.578085
2.14758 0.580901
2.15801 0.583767
2.16846 0.586684
2.17892 0.589652
2.18941 0.59267
2.19991 0.595738
2.21044 0.598857
2.22098 0.602026
2.23154 0.605246
2.24213 0.608516
2.25273 0.611835
2.26335 0.615205
2.27399 0.618625
2.28466 0.622095
2.29534 0.625614
2.30605 0.629183
2.31677 0.632802
2.32752 0.63647
2.33829 0.640188
2.34907 0.643954
2.35988 0.64777
2.37072 0.651634
2.38157 0.655547
2.39244 0.659509
2.40334 0.663519
2.41426 0.667577
2.4252 0.671683
2.43616 0.675837
2.44715 0.680038
2.45815 0.684286
2.46918 0.688581
2.48023 0.692923
2.49131 0.697312
2.5024 0.701746
2.51352 0.706227
2.52466 0.710752
